Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2011-MS,61.9,67.0,64.3,38.7,33.0,35.8,12.2,11.2,11.7,3.9,3.5,3.7,4.0,4.7,4.3,3.5,6.8,9.8,8.9,11.0,9.8,26.0,21.8,30.5,52.8,62.2,42.4,21.3,16.0,27.1
2011-MO,72.4,72.1,72.2,31.2,30.4,30.8,9.2,9.7,9.4,3.4,3.2,3.3,3.3,5.3,4.2,3.6,6.6,8.9,7.4,10.6,8.9,25.0,23.6,26.4,50.0,55.6,44.0,25.0,20.8,29.6
2011-MT,76.8,76.0,76.4,23.8,26.1,25.0,6.9,7.1,7.0,2.9,2.7,2.8,2.3,4.8,3.5,2.8,5.7,7.6,6.2,9.0,7.6,22.1,21.0,23.2,51.0,55.6,46.3,26.9,23.4,30.5
2011-NE,75.4,72.9,74.1,28.3,30.1,29.1,7.4,8.3,7.8,2.4,2.4,2.4,2.7,4.7,3.6,2.6,5.6,7.3,5.7,9.1,7.3,20.0,17.9,22.1,55.7,61.0,50.2,24.3,21.0,27.7
2011-NV,74.6,77.5,76.0,24.5,25.8,25.2,8.8,11.6,10.2,3.3,2.9,3.1,3.5,4.7,4.0,3.6,6.7,8.2,7.0,9.7,8.2,22.9,20.2,25.6,52.5,57.4,47.7,24.6,22.4,26.8
2011-NH,78.7,77.3,77.9,24.2,28.0,26.1,6.5,9.2,7.8,2.4,2.3,2.3,2.5,4.3,3.4,2.2,5.3,6.5,5.2,8.0,6.5,19.4,18.5,20.4,51.3,52.8,49.8,29.2,28.7,29.8
2011-NJ,71.9,76.4,74.0,21.9,25.8,23.8,7.1,9.1,8.1,2.4,1.9,2.2,2.6,5.0,3.7,2.8,5.2,7.3,5.9,8.9,7.3,16.8,14.6,19.1,57.4,61.7,52.8,25.8,23.7,28.0
2011-NM,74.1,75.9,75.0,27.3,27.2,27.3,9.2,9.7,9.4,2.5,2.4,2.4,2.4,4.5,3.4,2.5,5.9,7.2,5.5,9.0,7.2,21.5,18.2,24.9,53.6,60.4,46.5,24.9,21.4,28.6
2011-NY,72.1,76.3,74.1,23.9,25.9,24.9,9.2,10.3,9.7,1.9,2.0,1.9,2.8,4.9,3.8,2.1,4.6,6.5,5.2,8.1,6.5,18.1,16.8,19.5,56.4,60.2,52.4,25.4,23.0,28.1
2011-NC,72.1,75.6,73.7,30.6,29.1,29.9,9.8,10.6,10.1,2.9,2.9,2.9,3.5,5.0,4.2,2.6,5.8,8.4,7.0,10.0,8.4,21.8,19.2,24.5,53.4,60.8,45.5,24.8,20.0,29.9
2011-ND,75.3,71.8,73.4,26.1,31.4,28.8,7.0,8.6,7.7,2.1,1.9,2.0,2.7,5.0,3.7,2.6,5.4,6.7,5.3,8.3,6.7,21.9,19.5,24.2,52.9,58.5,47.3,25.3,22.0,28.5
2011-OH,72.6,75.2,73.7,27.6,31.8,29.7,8.7,9.5,9.1,2.7,3.0,2.8,3.4,5.7,4.5,2.9,6.3,8.5,6.8,10.5,8.5,25.1,24.2,26.0,49.7,53.9,45.1,25.2,21.9,28.9
2011-OK,69.4,69.4,69.3,32.5,31.5,31.9,9.4,11.9,10.5,3.6,2.7,3.1,3.7,5.5,4.5,3.2,6.9,8.9,7.9,10.2,8.9,26.1,24.3,28.1,49.2,54.9,43.2,24.7,20.9,28.8
2011-OR,82.3,79.2,80.6,27.7,26.9,27.2,7.7,9.4,8.5,2.5,2.8,2.6,2.3,4.0,3.1,2.2,4.3,6.4,5.4,7.5,6.4,19.7,18.4,21.1,52.8,56.6,48.9,27.5,25.0,30.0
2011-PA,72.7,76.4,74.5,27.5,29.6,28.5,7.3,9.5,8.3,2.5,3.0,2.7,3.5,5.9,4.6,2.3,5.9,8.0,6.3,10.0,8.0,22.4,21.5,23.5,52.2,56.8,47.2,25.4,21.8,29.3
2011-RI,73.1,75.7,74.3,24.0,28.2,26.1,7.9,7.7,7.8,1.9,2.6,2.2,2.5,5.4,3.8,2.4,5.8,7.0,5.2,9.2,7.0,20.0,18.8,21.4,52.2,55.5,48.7,27.7,25.7,29.9
2011-SC,71.2,75.6,73.3,34.0,29.3,31.6,11.4,11.0,11.2,3.4,3.2,3.3,3.6,4.1,3.8,3.3,5.7,8.4,7.7,9.5,8.4,23.1,20.7,25.8,52.8,59.2,45.9,24.0,20.1,28.2
